#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-19T09:07:42 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-19T09:07:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-out.all=2&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/475/359&utm_source=chatgpt.com&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34750359
#Name: J/A+A/475/359
#Title: Predicting radio fluxes of extrasolar planets (Griessmeier+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/a+a/475/359	    IVOID of underlying data collection
#INFO	creator=Griessmeier J.-M.	    First author or institution
#INFO	cites=bibcode:2007A&A...475..359G	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/475/359	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34750359	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_475_359_table1:
#Name: J/A+A/475/359/table1
#Title: *Expected exoplanetary radio emission characteristics
#Column	Planet	(a17)	Planet name	[ucd=meta.id;meta.main]
#Column	Mass	(F4.1)	Estimated planetary mass relative to Jupiter	[ucd=phys.mass]
#Column	Rad	(F4.1)	Estimated planetary radius relative to Jupiter	[ucd=phys.size.radius;arith.ratio]
#Column	MM	(F4.1)	Estimated planetary magnetic moment relative to Jupiter	[ucd=phys.magField]
#Column	fc	(F5.1)	Expected maximum emission frequency	[ucd=em.freq]
#Column	fp	(F4.1)	Expected plasma frequency in the stellar wind at the orbital distance of the planet	[ucd=em.freq]
#Column	Phimag	(F6.1)	Expected radio flux density (magnetic energy case)	[ucd=phot.flux.density;em.radio]
#Column	Phikin	(F4.1)	Expected radio flux density (kinetic energy case)	[ucd=phot.flux.density;em.radio]
#Column	PhiCME	(F5.1)	Expected radio flux density (CME case)	[ucd=phot.flux.density;em.radio]
#Column	Stat	(A4)	Status of planet (1)	[ucd=meta.code]
#Column	Star	(a12)	Star associated with the planet (2)	[ucd=meta.id.assoc]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Computed Right Ascension for Equinox: J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Computed Declination for Equinox: J2000	[ucd=pos.eq.dec;meta.main]
Planet;Mass;Rad;MM;fc;fp;Phimag;Phikin;PhiCME;Stat;Star;SimbadName;_RA;_DE
 ;jovMass; ; ;MHz;MHz;mJy;mJy;mJy; ; ; ;deg;deg
-----------------;----;----;----;-----;----;------;----;-----;----;------------;-----------------;---------;---------
14 Her b         ; 5.4; 1.1; 3.7; 68.5; 0.0;   0.0; 0.0;  0.0; FR ;14 Her      ;* 14 Her b       ;242.60131;+43.81764
16 Cyg B b       ; 1.9; 1.1; 1.9; 34.9; 0.0;   0.0; 0.0;  0.0; FR ;16 Cyg B    ;* 16 Cyg Bb      ;295.46625;+50.51750
47 Uma b         ; 3.0; 1.1; 2.6; 46.6; 0.0;   0.0; 0.0;  0.0; FR ;47 Uma      ;* 47 UMa b       ;164.86654;+40.43025
47 Uma c         ; 1.5; 1.1; 1.6; 30.2; 0.0;   0.0; 0.0;  0.0; FR ;47 Uma      ;* 47 UMa c       ;164.86654;+40.43025
51 Peg b         ; 0.5; 1.0; 0.1;  2.0; 0.4; 192.6; 0.2; 24.4; TL ;51 Peg      ;* 51 Peg b       ;344.36342;+20.76794
55 Cnc b         ; 0.9; 1.1; 0.9; 18.9; 0.2;   2.4; 0.1;  3.0;(FR);55 Cnc      ;* 55 Cnc b       ;133.14921;+28.33081
55 Cnc b         ; 0.9; 1.1; 0.2;  3.2; 0.2;   4.3; 0.2;  5.5;(TL);55 Cnc      ;* 55 Cnc b       ;133.14921;+28.33081
55 Cnc c         ; 0.3; 0.8; 0.2;  7.8; 0.2;   0.7; 0.1;  1.8;(FR);55 Cnc      ;* 55 Cnc c       ;133.14921;+28.33081
55 Cnc c         ; 0.3; 0.8; 0.0;  0.7; 0.2;   1.5; 0.2;  3.9;(TL);55 Cnc      ;* 55 Cnc c       ;133.14921;+28.33081
55 Cnc d         ; 4.5; 1.1; 3.4; 61.4; 0.0;   0.0; 0.0;  0.0; FR ;55 Cnc      ;* 55 Cnc d       ;133.14921;+28.33082
70 Vir b         ; 8.6; 1.1; 4.5; 93.0; 0.1;   0.0; 0.0;  0.1; FR ;70 Vir      ;* 70 Vir b       ;202.10754;+13.77878
Epsilon Eridani b; 1.8; 1.1; 1.8; 33.2; 0.1;   2.9;16.2;  0.6; FR ;* eps Eri   ;* eps Eri b      ;053.23268;-09.45826
Gamma Cephei b   ; 1.8; 1.1; 1.8; 33.5; 0.0;   0.0; 0.0;  0.0; FR ;* gam Cep   ;* gam Cep b      ;354.83687;+77.63228
GJ 3021 b        ; 3.8; 1.1; 3.1; 54.5; 0.6;   0.4; 5.3;  0.3; FR ;GJ 3021     ;GJ 3021 b        ;004.05282;-79.85118
GJ 436 b         ; 0.1; 0.6; 0.0;  0.6; 0.4;5319.7; 0.1;140.5; TL ;GJ 436      ;GJ 436 b         ;175.54623;+26.70657
Gj 849 b         ; 0.9; 1.0; 1.0; 21.8; 0.0;   0.0; 0.0;  0.0; FR ;Gj 849      ;Gj 849 b         ;332.41811;-04.64073
Gl 581 b         ; 0.1; 0.6; 0.0;  0.4; 0.2;1122.9; 0.5;115.8; TL ;Gl 581      ;Gl 581 b         ;229.86177;-07.72228
Gl 86 b          ; 4.6; 1.1; 3.5; 61.0; 0.4;   1.6; 1.2;  3.8;(FR);Gl 86       ;GJ 86 b          ;032.60806;-50.82372
Gl 86 b          ; 4.6; 1.1; 0.6;  9.9; 0.4;   3.0; 2.1;  7.1;(TL);Gl 86       ;GJ 86 b          ;032.60806;-50.82372
Gliese 876 b     ; 2.2; 1.1; 2.1; 38.2; 0.0;   0.0; 0.0;  6.3; FR ;Gliese 876  ;Gliese 876 b     ;343.31971;-14.26369
Gliese 876 c     ; 0.6; 1.0; 0.6; 16.4; 0.0;  20.1; 0.1; 30.0;(FR);Gliese 876  ;Gliese 876 c     ;343.31972;-14.26370
Gliese 876 c     ; 0.6; 1.0; 0.1;  1.9; 0.0;  41.3; 0.1; 61.7;(TL);Gliese 876  ;Gliese 876 c     ;343.31972;-14.26370
HAT--P-1 b       ; 0.5; 1.4; 0.0;  0.1; 0.7;  12.7; 0.0;  1.7; TL ;Name HAT-P-1;HAT-P 1b         ;344.44510;+38.67495
HD 101930 b      ; 0.3; 0.9; 0.3; 10.6; 0.1;   0.0; 0.0;  0.1;(FR);HD 101930   ;HD 101930 b      ;175.87546;-58.00689
HD 101930 b      ; 0.3; 0.9; 0.0;  0.8; 0.1;   0.0; 0.0;  0.2;(TL);HD 101930   ;HD 101930 b      ;175.87546;-58.00689
HD 102117 b      ; 0.2; 0.8; 0.1;  6.2; 0.1;   0.1; 0.0;  0.2;(FR);HD 102117   ;HD 102117 b      ;176.21026;-58.70371
HD 102117 b      ; 0.2; 0.8; 0.0;  0.8; 0.1;   0.2; 0.0;  0.3;(TL);HD 102117   ;HD 102117 b      ;176.21026;-58.70371
HD 102195 b      ; 0.6; 1.0; 0.1;  2.2; 0.6;  91.3; 0.1;  7.6; TL ;HD 102195   ;HD 102195 b      ;176.42621;+02.82147
HD 104985 b      ; 7.3; 1.1; 4.3; 83.0; 0.1;   0.0; 0.0;  0.0; FR ;HD 104985   ;HD 104985 b      ;181.31299;+76.90573
HD 106252 b      ; 7.9; 1.1; 4.3; 88.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 106252   ;HD 106252 b      ;183.37296;+10.04164
HD 10647 b       ; 1.1; 1.0; 1.1; 23.0; 0.0;   0.0; 0.0;  0.0; FR ;HD 10647    ;HD 10647 b       ;025.62215;-53.74083
HD 10697 b       ; 7.1; 1.1; 4.2; 82.2; 0.0;   0.0; 0.0;  0.0; FR ;HD 10697    ;HD 10697 b       ;026.23260;+20.08315
